<p>a                             一个
condensation                     谴责者
condense                         凝析油
condenser                        缩合
condescending                    凝结
condescension                    冷凝器
condign                          居高临下的
condiment                        屈尊俯就
condition's                      条件
condition                        调味品
conditional                      状况
conditionality                   状况
conditioned                      有条件的
conditioner                      条件性
conditioning                     条件
condo                            护发素
condolence                       调理
condom                           公寓
condominium                      慰问
condone                          避孕套
condor                           共管公寓
conduce                          纵容
conduct                          秃鹰
conductance                      有助于
conductibility                   执行
conductible                      電导
conduction                       导电性
conductivity                     导电性
conductor                        传导
conductress                      电导率
conduit                          导体
cone                             女售票员
coneys                           导管
confab                           锥体
confabbed                        科尼
confabbing                       会议
confabulate                      交谈
confabulation                    交谈
confection                       摆龙门阵
confectioner                     臆想
confectionery                    糖果
confederacy                      糖果商
confederate                      糖果
confer                           邦联
conferee                         同盟者
conference                       授予
conferrable                      參會者
conferral                        会议
conferred                        可授予的
conferrer                        授予
conferring                       授予
confessed                        授權人
confession                       授予
confessional                     承认
confessor                        忏悔
confetti                         忏悔的
confidant                        忏悔者
confidante                       五彩纸屑
confide                          知己
confidence                       知己
confident                        信任
confidential                     信心
confidentiality                  自信的
confider                         机密的
confiding                        保密性
configuration                    信任者
configure                        倾诉
confined                         配置
confinement                      配置
confirm                          受限
confirmation                     禁闭
confirmatory                     确认
confirmed                        确认
confiscate                       确认
confiscation                     确认的
confiscator                      没收
confiscatory                     没收
conflagration                    没收者
conflate                         没收的
conflation                       大火
conflict                         合并
confluence                       混合
confluent                        冲突
conform                          合流
conformable                      汇合
conformal                        符合
conformance                      顺应性
conformism                       保形
conformist                       一致性
conformity                       顺从主义
confrere                         顺从者
confrontation                    一致性
confrontational                  同僚
confuse                          对抗
confused                         对抗性的
confusing                        迷惑
confutation                      使困惑
confute                          令人困惑
conga                            驳斥
<p>congeal                       驳斥
congealment                      康加鼓
conger                           凝结
congeries                        凝结
congest                          康格
congestion                       聚集
conglomerate                     拥塞
conglomeration                   拥塞
congrats                         聚集
congratulate                     聚集
congratulation                   祝贺
congratulatory                   祝贺
congregant                       祝贺
congregate                       会众
congregation                     聚集
congregational                   会众
congregationalism                公理会
congregationalist                公理会
congress                         国会
congressional                    国会议员
congressman                      国会议员
congressmen                      国会议员
congresspeople                   国会议员
congressperson                   国会议员
congresswoman                    国会议员
congresswomen                    国会议员
congruence                       国会女议员
congruent                        国会女议员
congruity                        一致
congruous                        一致
conic                            一致
conical                          圆锥
conifer                          圆锥形
coniferous                       圆锥er
conjectural                      针叶状的
conjecture                       推测的
conjoint                         推测
conjugal                         联合的
conjugate                        婚姻的
conjugation                      结合的
conjunct                         结合的
conjunctiva                      结合的
conjunctive                      结膜的
conjunctivitis                   结膜炎
conjuration                      咒语
conjure                          咒语
conjurer                         咒语
conk                             咒语者
conman                           conk
connect                          骗子
connectable                      连接
connected                        可连接的
connection                       连接的
connective                       连接
connectivity                     连接的
connector                        连通性的
conned                           连接器
conning                          骗子
conniption                       骗子
connivance                       conniption
connive                          纵容
conniver                         纵容
connoisseur                      纵容
connotative                      鉴赏家
connubial                        内涵的
conquer                          婚姻的
conquerable                      征服
conquered                        可征服的
conqueror                        征服
conquest                         征服者
conquistador                     征服
cons                             征服uistador
consanguineous                   cons
consanguinity                    血亲
conscienceless                   血缘关系
conscientious                    无良心
conscientiousness                认真
conscious                        尽责
consciousness                    有意识
consciousnesses                  意识
conscription                     意识
consecrate                       征兵
consecrated                      奉献
consecration                     奉献
consecrations                    奉献
consecutive                      奉献
consensual                       连续的
consensus                        共识
consent                          共识
consequence                      同意
consequent                       后果
consequential                    结果
conservancy                      后果
conservation                     保护
conservationism                  保护主义
conservationist                  保护主义者
conservatism                     保守主义
conservative                     保守主义
conservatoire                    保守派
conservator                      音乐学院
conservatory                     保护者
consider                         保守派ory
considerable                     考虑
considerably                     相当可观
considerate                      相当可观
considerateness                  体贴
consideration                    体贴
considerations                   考虑
considered                       考虑
consign                          考虑
consignee                        托运
consignment                      收货人
consist                          托运
consistence                      一致
consistency                      一致性
consistent                       一致性
consistory                       一致
consolable                       一致性
consolation                      可安慰的
consolatory                      安慰
consolidate                      巩固
consolidated                     巩固
consolidation                    巩固
consolidator                     巩固者
consoling                        安慰
consomme                         consomme
consonance                       consonance
consonant                        consonant
consortia                        consortia
consortium                       consortium
conspectus                       conspectus
conspicuous                      conspicuous
conspicuousness                  conspicuousness
conspiracy                       conspirac
conspirator                      y
conspiratorial                   阴谋家
conspire                         阴谋的
constable                        密谋
constabulary                     警员
constancy                        警员
constant                         恒常性
constellation                    恒定的
consternation                    星座
constipate                       惊愕
constipation                     便秘
constituency                     便秘
constituent                      选区
constitute                       组成
constitution                     宪法
constitutional                   宪法的
constitutionalism                宪政主义
constitutionality                合宪性
constitutions                    宪法
constrained                      受约束的
constraint                       约束
constrict                        收缩
constriction                     收缩
constrictor                      收缩者
construable                      可解释的
construct's                      构造的
construct                        构造
construction                     构造的
constructional                   构造主义者的
constructionist's                反对建设者
constructionist                  建设性的
constructive                     建设性
constructiveness                 构造者
constructor                      解释
construe                         领事
consul                           领事馆
consular                         领事职位
consulate                        咨询
consulship                       咨询
consult                          顾问
consultancy                      咨询
consultant                       咨询
consultation                     可消耗的
consultative                     消费
consumable                       消费
consume                          消费者
consumed                         消费主义
consumer                         消费主义者
consumerism                      完善
consumerist                      完善
consummate                       消费
consummated                      消费性
consumption                      接触
consumptive                      可接触
cont                             非接触
contact                          传染
contactable                      传染性
contactless                      传染性
contagion                        包含
contagious                       容器
contagiousness                   容器化
contain                          容器化
container                        遏制
containerization                 污染物
containerize                     污染
containment                      污染
contaminant                      污染
contaminate                      污染者
contaminated                     继续
contamination                    蔑视
contaminator                     沉思
contd                            沉思的
contemn                          同时代性
contemplate                      同时代的
contemplation                    蔑视
contemplative                    可鄙的
contemporaneity                  可鄙地
contemporaneous                  轻蔑的
contempt                         轻蔑的
contemptible                     轻蔑的
contemptibly                     竞争者
contemptuous                     内容
contemptuousness                 满足
contender                        满足
content                          争论
contented                        有争议的
contentedness                    有争议的
contention                       满足
contentious                      连续的
contentiousness                  可争议的
contently                        参赛者
contentment                      有争议的
conterminous                     上下文的zation
contestable                      contextualize
contestant                       contiguity
contested                        contiguous
contextualization                continence
contextualize                    continent
contiguity                       continental
contiguous                       contingency
continence                       contingent
continent                        continual
continental                      continuance
contingency                      continuation
contingent                       continue
continua                         continity
continual                        continuous
continuance                      continuum
continuation                     contort
continue                         contortion
continuity                       contortionist
continuous                       contra
continuum                        contraband
contort                          contrabassoon
contortion                       contraception
contortionist                    contraceptive
contra                           contractible
contraband                       contractile
contrabassoon                    contractility
contraception                    contraction
contraceptive                    contractual
contract                         contradict
contractible                     contradiction
contractile                      contradictory
contractility                    对比
contraction                      逆流
contractual                      尾迹
contradict                       反指示
contradiction                    禁忌
contradictory                    对立
contradistinction                装置
contraflow                       对位
contrail                         逆向
contraindicate                   逆向主义
contraindication                 相反
contralto                        相反
contraption                      相反性
contrapuntal                     相反
contrarian                       相反
contrarianism                    对比
contrariety                      违反
contrarily                       违反
contrariness                     矛盾
contrariwise                     贡献
contrary                         贡献
contrast                         贡献者
contravene                       贡献的
contravention                    悔意
contretemps                      设计
contribute                       设计
contribution                     设计者
contributor                      控制的
contributory                     控制
contrition                       可控制的
contrivance                      控制者
contrive                         控制
contriver                        有争议的
control's                        争议
control                          反驳
controllable                     可反驳的
controlled                       顽固的
controller                       顽固的
controlling                      侮辱的
controversial                    侮辱的
controversy                      挫伤
controvert                       挫伤
controvertible                   难题
contumacious                     城市
contumacy                        转换alesce
contumelious                     康复期
contumely                        康复期
contuse                          对流
contusion                        对流的
conundrum                        对流的
conurbation                      对流的
convalesce                       召集
convalescence                    召集人
convalescent                     便利
convection                       方便的
convectional                     修道院
convective                       集会
convector                        大会
convene                          常规的
convener                         惯例性
convenience                      传统化
convenient                       会议者
convent                          融合
conventicle                      收敛的
convention                       熟人
conventional                     对话
conventionality                  对话nal
conventionalize                  交谈者
conventioneer                    交谈
convergence                      转换者
convergent                       转换
conversant                       转换
conversation                     转换器
conversational                   可转换性
conversationalist                可转换
converse                         凸
convert's                        凸度
convert                          传达
converted                        运输
converter                        传送器
convertibility                   罪犯
convertible                      信念
convex                           说服
convexity                        确信
convey                           令人信服
conveyance                       欢乐
conveyor                         欢乐
convict                          召集
conviction                       复杂的
convince                         卷积
convinced                        车队
convincing                       抽搐
convivial                        转换ulsion
conviviality                     抽搐
convoke                          cony
convoluted                       coo
convolution                      厨师的
convoy                           厨师
convulse                         食谱
convulsion                       煮熟的
convulsive                       炊具
cony                             烹饪
coo                              厨房
cook's                           饼干
cook                             烹饪
cookbook                         野餐
cooked                           炊具
cooker                           凉爽
cookery                          冷却剂
cookhouse                        冷却器
cookie                           苦力
cooking                          凉爽
cookout                          浣熊
cookware                         浣熊皮
cool                             合作
coolant                          库珀
cooler                           制桶厂
coolie                           合作
coolness                         合作
coon                             合作性
coonskin                         合作者
coop                             协调
cooper                           合作协调
cooperage                        协调
cooperate                        协调员
cooperation                      傻瓜
cooperative                      傻瓜
cooperativeness                  警察
cooperator                       copacetic
coordinate                       copay
coordinated                      应对
coordination                     复印机
coordinator                      副驾驶
coot                             应对
cootie                           丰富的
cop                              丰富的
copacetic                        copped
copay                            铜
cope                             铜头蛇
copier                           铜板
copilot                          铜色
coping                           copping
copious                          椰干
copiousness                      copse
copped                           copter
copper                           copula
copperhead                       交配
copperplate                      交配
coppery                          copulative
copping                          副本
copra                            副本
copse                            抄本
copter                           抄袭者
copula                           copyc
copulate                         atted
copulation                       copycatting
copulative                       copyist
copy's                           copyleft
copy                             copyright
copybook                         copywriter
copycat                          coquetry
copycatted                       coquette
copycatting                      coquettish
copyist                          cor
copyleft                         coracle
copyright                        coral
copywriter                       corbel
coquetry                         cord
coquette                         cordage
coquettish                       cordial
cor                              cordiality
coracle                          cordillera
coral                            cordite
corbel                           cordless
cord                             cordon
cordage                          cordovan
cordial                          corduroy
cordiality                       corduroys
cordillera                       core
cordite                          coreligionist
cordless                         corer
cordon                           corespondent
cordovan                         corgi
corduroy                         coriander
corduroys                        cork's
core                             软木
coreligionist                    开瓶器
corer                            开瓶器
corespondent                     球茎
corgi                            鸬鹚
coriander                        玉米
cork's                           玉米球
cork                             玉米面包
corkage                          玉米芯
corker                           秧鸡
corkscrew                        角膜
corm                             角膜
cormorant                        角落
corn                             基石
cornball                         短号
cornbread                        玉米地
corncob                          玉米片
corncrake                        玉米粉
cornea                           矢车菊
corneal                          檐口
corner                           玉米味
cornerstone                      玉米味
cornet                           玉米粉
cornfield                        玉米穗
cornflakes                       玉米秸
cornflour                        玉米淀粉
cornflower                       聚宝盆
cornice                          玉米味
cornily                          c
corniness                        orolla
cornmeal                         推论
cornrow                          冠状
cornstalk                        冠状
cornstarch                       冠状
cornucopia                       加冕
corny                            冠状病毒
corolla                          验尸官
corollary                        冠状
corona                           公司
coronal                          公司
coronary                         公司
coronation                       法人
coronavirus                      公司主义
coroner                          有形的
coronet                          有形性
corp                             公司
corpora                          尸体
corporal                         医务兵
corporate                        医务兵
corporation                      肥胖
corporatism                      肥胖
corporeal                        体
corporeality                     小体
corps                            小体
corpse                           corr
corpsman                         corral
corpsmen                         corralle
corpulence                       d
corpulent                        corralling
corpus                           correct
corpuscle                        corrected
corpuscular                      correction
corr                             correctional
corral                           corrective
corralled                        correctness
corralling                       corrector
correct                          correlate
corrected                        correlated
correction                       correlation
correctional                     correlational
corrective                       correlative
correctness                      correspond
corrector                        correspondence
correlate                        correspondent
correlated                       corresponding
correlation                      corridor
correlational                    corrie
correlative                      confirmate
correspond                       confirmed
correspondence                   confirmation
correspondent                    corroborat或
corresponding                    证实
corridor                         腐蚀
corrie                           腐蚀
corroborate                      腐蚀性
corroborated                     起皱
corroboration                    起皱
corroborator                     腐败
corroboratory                    腐败性
corrode                          易腐败
corrosion                        腐败
corrosive                        腐败
corrugate                        胸花
corrugation                      海盗
corrupt                          紧身胸衣
corruptibility                   随从
corruptible                      皮质
corruption                       皮质
corruptness                      皮质
corsage                          皮质醇
corsair                          可的松
corset                           刚玉
cortege                          闪闪发光
cortex                           闪闪发光
cortical                         护卫舰
cortices                         cos
cortisol                         cosh
cortisone                        cosign
corundum                         cosig
coruscate                        natory
coruscation                      cosigner
corvette                         cosine
cos                              cosmetic
cosh                             cosmetically
cosign                           cosmetician
cosignatory                      cosmetologist
cosigner                         cosmetology
cosine                           cosmic
cosmetic                         cosmically
cosmetically                     cosmogenist
cosmetician                      cosmogeny
cosmetologist                    cosmology
cosmetology                      cosmology
cosmic                           cosmologist
cosmically                       cosmonaut
cosmogonist                      cosmopolitan
cosmogony                        cosmopolitanism
cosmological                     cosmos
cosmologist                      cosplay
cosmology                        cosponsor
cosmonaut                        cosset
cosmopolitan                     cossetted
cosmopolitanism                  cossetting
cosmos                           cost
cosplay                          costar
cosponsor                        c
cosset                           ostarred
cossetted                        costarring
cossetting                       costliness
cost                             costly
costar                           costume
costarred                        costumer
costarring                       costumier
costliness                       cot
costly                           cotangent
costume                          cote
costumer                         coterie
costumier                        coterminous
cot                              cotillion
cotangent                        cottage
cote                             cottager
coterie                          cottar
coterminous                      cotter
cotillion                        cotton
cottage                          cottonmouth
cottager                         cottonmouths
cottar                           cottonseed
cotter                           cottontail
cotton                           cottonwood
cottonmouth                      cottony
cottonmouths                     cotyledon
cottonseed                       couch
cottontail                       couchette
cottonwood                       cougar
cottony                          cough
cotyledon                        cou
couch                            ghs
couchette                        可以
cougar                           本来可以
cough                            不能
coughs                           coulee
could                            coulis
could've                         coulomb
couldn't                         理事会
coulee                           议员
coulis                           议员
coulomb                          议员
council                          议员
councilman                       议员
councilmen                       议员
councilor                        议员
councilperson                    议员
councilwoman                     议员
councilwomen                     顾问
counsel                          顾问
counselor                        计数
count                            可数
countable                        可数
countably                        倒计时
countdown                        计数
counted                          面容
countenance's                    面容
countenance                      反击
counter                          反击
counteract                       反击ent
counteraction                    反击
counterargument                  反制
counterattack                    反击
counterbalance                   反诉
counterblast                     逆时针
counterclaim                     反文化
counterclockwise                 反击
counterculture                   反间谍
countered                        反例
counterespionage                 反事实
counterexample                   伪造
counterfactual                   伪造者
counterfeit                      反击
counterfeiter                    反击
counterfoil                      反叛乱
countering                       反情报
counterinsurgency                反击者
counterintelligence              反击
counterman                       反制
countermand                      反措施
countermeasure                   反旋律
countermelody                    反击者
countermen                       反击
countermove                      反攻
counteroffensive                 反提议
counteroffer                     反方
counterpane                      反诉
counterpart                      反抗
counterpetition                  反方
counterpoint                     反诉
counterpoise                     反方
counterproductive                反诉
counterrevolution                反方
counterrevolutionary             反击
countersign                      反击
countersignature                 假声男高音
countersink                      抵消
counterspy                       平衡
counterstroke                    伯爵夫人
countersunk                      无数
countertenor                     乡村化
countervail                      国家
counterweight                    乡下人
countess                         乡下人
countless                        乡村
countrified                      全国
country                          乡下女人
countryman                       乡下女人
countrymen                       县
countryside                      全县
countrywide                      政变
countrywoman                     政变
countrywomen                     双人
county                           夫妇
countywide                       夫妇
coup's                           对联
coup                             联结
coupe                            优惠券
couple's                         勇气
couple                           勇敢
couplet                          勇敢s
coupling                         西葫芦
coupon                           信使
courage                          课程
courageous                       课本
courageousness                   courser
courgette                        课程作业
courier                          法院
course                           彬彬有礼
coursebook                       彬彬有礼
courser                          妓女
coursework                       礼貌
court                            法院
courteous                        朝臣
courteousness                    彬彬有礼
courtesan                        彬彬有礼
courtesy                         法庭
courthouse                       求爱
courtier                         庭院
courtliness                      蒸粗麦粉
courtly                          表亲
courtroom                        时装
courtship                        女装设计师
courtyard                        共价
couscous                         协变
cousin                           协变
couture                          cove
couturier                        coven
covalent                         coven蚂蚁
covariance                       封面
covariant                        封面
cove                             覆盖
coven                            工作服
covenant                         覆盖物
cover's                          覆盖物
cover                            覆盖物
coverage                         床罩
coverall                         隐蔽
covering's                       隐蔽性
coverings                        贪婪
coverlet                         贪婪
covert                           贪婪
covertness                       covey
covet                            牛
covetous                         懦夫
covetousness                     懦弱
covey                            懦弱
cow                              牛铃
coward                           牛鹂
cowardice                        牛仔
cowardliness                     牛仔捕手
cowbell                          畏缩
cowbird                          女牛仔
cowboy                           牛仔夫
cowcatcher                       牛倌
cower                            牛皮
cowgirl                          头巾
cowhand                          头巾
cowherd                          头巾
cowhide                          牛仔
cowl                             c
cowlick                          owmen
cowling                          同事
cowman                           cowpat
cowmen                           cowpoke
coworker                         cowpox
cowpat                           cowpuncher
cowpoke                          cowrie
cowpox                           cowshed
cowpuncher                       cowslip
cowrie                           cox
cowshed                          coxcomb
cowslip                          coxswain
cox                              coy
coxcomb                          coyness
coxswain                         coyote
coy                              coypu
coyness                          cozen
coyote                           cozenage
coypu                            cozily
cozen                            coziness
cozenage                         cozy
cozily                           cpd
coziness                         cpl
cozy                             cps
cpd                              crab
cpl                              crabbed
cps                              crabber
crab                             crabbily
crabbed                          crabbiness
crabber                          crabbing
crabbily                         crabby
crabbiness                       crabgrass
crabbing                         crablike
crabby                           crabwise
crabgrass                        破解
crablike                         打击
crabwise                         破解者
crack                            破解者
crackdown                        瘾君子
cracker                          噼啪作响
crackerjack                      噼啪作响
crackhead                        疯子
crackle                          崩溃
crackling                        摇篮
crackpot                         工艺
crackup                          狡猾地
cradle                           狡猾
craft                            工匠
craftily                         工艺
craftiness                       工匠
craftsman                        工匠
craftsmanship                    女工匠
craftsmen                        狡猾
craftspeople                     峭壁
craftswoman                      崎岖
craftswomen                      崎岖
crafty                           塞满
crag                             塞满
cragginess                       塞满
craggy                           塞满
cram                             塞满
crammed                          抽筋
crammer                          抽筋ing
cramming                         冰爪
cramp                            蔓越莓
cramping                         起重机
crampon                          颅骨
cranberry                        颅骨
crane                            曲柄
cranial                          曲轴箱
cranium                          暴躁地
crank                            暴躁
crankcase                        曲轴
crankily                         暴躁的
crankiness                       裂缝
crankshaft                       废话
cranky                           绉纱
cranny                           废话
crap                             废话
crape                            克拉皮
crapped                          废话
crapper                          废话
crappie                          掷骰子
crapping                         崩溃
crappy                           粗鲁
craps                            粗鲁
crapshooter                      板条箱
crash                            陨石坑
crass                            领结
crassness                        渴望
crate                            懦弱
crater                           懦弱
cravat                           渴望
crave                            嗑药
craven                           小龙虾
cravenness                       爬行
craving                          爬行者
craw                             爬行空间
crawdad                          爬行
crawl                            小龙虾
crawler                          绘儿乐
crawlspace                       蜡笔
crawly                           疯狂
cray                             疯狂
crayfish                         疯狂
crayola                          吱吱作响
crayon                           吱吱作响
craze                            吱吱作响
crazily                          吱吱作响
craziness                        奶油
crazy                            奶油
creak                            奶油
creakily                         奶油
creakiness                       奶油
creaky                           奶油
cream                            折痕
creamer                          创造
creamery                         创造
creamily                         创造论
creaminess                       创造论者
creamy                           创造性
crease                           创造创造力
create                           创造者
creation's                       生物
creation                         托儿所
creationism                      信誉
creationist                      信任
creative                         凭证
creativeness                     信条
creativity                       信条
creator                          可信度
creature                         可信地
creche                           信用
cred                             信誉良好
credence                         债权人
credential                       信誉良好
credenza                         信条
credibility                      轻信
credible                         轻信
credibly                         信条
credit                           小溪
creditably                       信条架
creditor                         爬行
creditworthy                     爬行者
credo                            令人毛骨悚然
credulity                        令人毛骨悚然
credulous                        令人毛骨悚然
credulousness                    骨灰
creed                            火化
creek                            火葬
creel                            火葬场
creep                            火葬场
creeper                          火葬场
creepily                         奶油
creepiness                       雉堞状
creepy                           垛口
cremains                         克里奥尔
<p>cremate                       杂酚油
cremation                        绉
crematoria                       爬
crematorium                      暮
crematory                        渐强
creme                            新月
crenelate                        水芹
crenelation                      波峰
creole                           垂头丧气
creosote                         无冠的
crepe                            白垩纪
crept                            白痴
crepuscular                      克汀病
crescendo                        痴呆症
crescent                         克雷托讷
cress                            裂缝
crest                            裂缝
crestfallen                      全体人员
crestless                        双线
cretaceous                       刺绣
cretin                           船员
cretinism                        船员
cretinous                        婴儿床
cretonne                         克里比奇
crevasse                         抄袭
crevice                          抄袭者
crew                             抄袭
crewel                           克里克
crewelwork                       蟋蟀
crewman                          板球运动员
crewmen                          哭喊者
crib                             哎呀
cribbage                         犯罪
cribbed                          刑事
cribber                          犯罪性
cribbing                         定罪
crick                            犯罪学家
cricket                          犯罪学
cricketer                        卷曲
crier                            赤红
crikey                           畏缩
crime                            皱褶
criminal                         皱巴巴的
criminality                      衬裙
criminalize                      克里斯佩斯
criminologist                    削弱
criminology                      残废者
crimp                            残障软件
crimson                          致残
cringe                           危机
crinkle                          危机
crinkly                          脆
crinoline                        薄脆
cripes                           酥脆
cripple                          脆度
crippler                         酥脆的
crippleware                      交错
crippling                        标准
crises                           标准
crisis                           评论家
crisp                            批判的
crispbread                       临界性
crispiness                       批评
crispness                        批评
crispy                           批评家
crisscross                       批判
